REPOSITORY                                                           TAG                 IMAGE ID            CREATED             SIZE
kazauwa/ubuntu-tmp-file                                              latest              6853905730f4        43 seconds ago      123MB
molecule_local/ubuntu                                                18.04               40938ff796fd        3 days ago          131MB
molecule_local/centos                                                7                   6853192deaf9        3 days ago          231MB
ubuntu                                                               16.04               c6a43cd4801e        2 weeks ago         123MB
ubuntu                                                               18.04               549b9b86cb8d        2 weeks ago         64.2MB
clitop/test                                                          latest              5227ddddcbbe        4 weeks ago         2.02GB
core/tests                                                           latest              69f850983f93        4 weeks ago         3.86GB
python                                                               3.8                 0a3a95c81a2b        5 weeks ago         932MB
test/calc                                                            latest              0b18b183990b        7 weeks ago         1.75GB
centos                                                               7                   5e35e350aded        7 weeks ago         203MB
python                                                               3.7                 780bbecceca6        3 months ago        919MB
python                                                               3.7-alpine          39fb80313465        4 months ago        98.7MB
jupyterhub/singleuser                                                latest              c28118d97375        4 months ago        711MB
metabase/metabase                                                    v0.33.0             1491eb9cab5d        4 months ago        540MB
postgres                                                             9.6                 f5548544c480        4 months ago        230MB
redis                                                                latest              857c4ab5f029        5 months ago        98.2MB
postgres                                                             latest              53912975086f        5 months ago        312MB
direvius/yandex-tank                                                 latest              f31190f6538d        8 months ago        510MB
mdillon/postgis                                                      9.6                 46b6c43824d4        9 months ago        625MB
hello-world                                                          latest              fce289e99eb9        12 months ago       1.84kB
metabase/metabase                                                    v0.31.2             0e41d8de8452        13 months ago       232MB
